"Player","Pos","Team","Games","Snaps","Snaps/Gm","Snap %","Rush %","Tgt %","Touch %","Util %","Fantasy Pts","Pts/100 Snaps"
"Nelson Agholor","WR","BAL","13","391","30","46","0","7","4","7","35.1","9.0"
"JuJu Smith-Schuster","WR","KC","13","392","30","44","0","6","4","6","34.7","8.9"
"Greg Dortch","WR","ARI","16","403","25","39","1","11","9","12","35.9","8.9"
"David Moore","WR","CAR","16","530","33","55","0","10","6","10","46.2","8.7"
"Darius Slayton","WR","NYG","15","824","55","83","0","8","5","9","71.0","8.6"
"Brenton Strange","TE","JAC","16","525","33","54","0","9","7","9","45.1","8.6"
"Kayshon Boutte","WR","NE","14","715","51","80","0","9","5","9","61.2","8.6"
"Tre Tucker","WR","LV","16","943","59","88","1","8","6","9","79.9","8.5"
"Adonai Mitchell","WR","IND","16","367","23","36","1","15","8","16","30.8","8.4"
"Dyami Brown","WR","WAS","14","416","30","43","0","9","7","9","35.0","8.4"
"John Metchie III","WR","HOU","12","345","29","44","0","10","6","10","29.0","8.4"
"Curtis Samuel","WR","BUF","13","333","26","41","2","11","9","13","27.5","8.3"
"AJ Barner","TE","SEA","16","470","29","45","0","7","5","7","39.1","8.3"
"Kendrick Bourne","WR","NE","11","432","39","60","0","8","6","9","35.9","8.3"
"Noah Fant","TE","SEA","13","534","41","63","0","11","8","11","43.7","8.2"
"Josh Oliver","TE","MIN","14","522","37","56","0","5","4","5","42.2","8.1"
"Ray-Ray McCloud III","WR","ATL","16","902","56","85","1","9","8","10","71.9","8.0"
"Tyler Conklin","TE","NYJ","15","791","53","84","0","9","6","9","63.3","8.0"
"Cole Kmet","TE","CHI","16","933","58","87","0","6","5","6","73.1","7.8"
"Cedrick Wilson Jr.","WR","NO","14","354","25","40","0","6","5","6","27.7","7.8"
"Trey Palmer","WR","TB","14","297","21","31","0","7","4","7","23.2","7.8"
"Jake Ferguson","TE","DAL","13","570","44","65","0","14","10","14","44.2","7.8"
"Elijah Higgins","TE","ARI","16","380","24","37","0","6","5","6","29.2","7.7"
"Luke Schoonmaker","TE","DAL","16","375","23","34","0","9","7","9","28.5","7.6"
"Dalton Schultz","TE","HOU","16","833","52","80","0","10","6","10","62.3","7.5"
"Ja'Tavion Sanders","TE","CAR","15","497","33","55","0","8","6","8","36.7","7.4"
"Parris Campbell","WR","PHI","4","125","31","50","0","6","5","6","9.0","7.2"
"Nate Adkins","TE","DEN","16","376","24","37","0","3","3","3","27.0","7.2"
"Gabe Davis","WR","JAC","5","208","42","73","0","10","4","10","14.2","6.8"
"Lil'Jordan Humphrey","WR","DEN","13","451","35","54","0","10","6","10","30.7","6.8"
"Erick All Jr.","TE","CIN","9","231","26","42","0","10","9","10","15.8","6.8"
"Elijah Moore","WR","CLE","16","836","52","75","0","12","7","12","56.3","6.7"
"Jalen Brooks","WR","DAL","13","355","27","40","0","8","3","8","23.7","6.7"
"Johnny Mundt","TE","MIN","14","400","29","44","0","7","5","7","26.2","6.6"
"Tyler Boyd","WR","TEN","15","602","40","62","0","9","7","10","39.3","6.5"
"Malik Washington","WR","MIA","13","371","29","43","1","8","7","10","24.0","6.5"
"Colby Parkinson","TE","LAR","16","575","36","56","0","8","5","8","34.8","6.1"
"Rakim Jarrett","WR","TB","9","203","23","33","0","5","4","5","12.4","6.1"
"Austin Trammell","WR","JAC","1","33","33","61","0","9","6","9","2.0","6.1"
"Van Jefferson","WR","PIT","14","626","45","67","0","6","3","6","37.8","6.0"
"Dawson Knox","TE","BUF","16","618","39","61","0","5","4","5","37.1","6.0"
"Adam Trautman","TE","DEN","16","527","33","51","0","4","2","4","30.8","5.8"
"Theo Johnson","TE","NYG","12","683","57","84","0","6","4","6","39.1","5.7"
