"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"17","Aaron Rodgers (PIT)","345","548","63.0","3,623","6.6","24","10","37","22","107","0","2","16","241.6","15.1","31.3%"
"18","C.J. Stroud (HOU)","330","526","62.7","3,677","7.0","19","12","52","52","233","0","4","16","226.4","14.2","65.8%"
"19","Matthew Stafford (LAR)","340","517","65.8","3,762","7.3","20","8","28","30","41","0","2","16","222.6","13.9","93.9%"
"20","Kirk Cousins (ATL)","303","453","66.9","3,508","7.7","18","16","28","23","0","0","2","14","192.3","13.7","13.7%"
"21","Tua Tagovailoa (MIA)","291","399","72.9","2,867","7.2","19","7","21","17","49","0","2","11","188.5","17.1","18.8%"
"22","Drake Maye (NE)","225","337","66.8","2,276","6.8","15","10","33","54","421","2","6","12","187.1","15.6","97.7%"
"23","Anthony Richardson Sr. (IND)","126","264","47.7","1,814","6.9","8","12","14","86","499","6","3","11","174.5","15.9","5.7%"
"24","Bryce Young (CAR)","209","350","59.7","2,152","6.1","12","9","29","38","225","4","2","13","167.4","12.9","22.9%"
"25","Russell Wilson (NYG)","197","305","64.6","2,334","7.7","15","5","29","39","139","2","4","10","166.3","16.6","1.9%"
"26","Derek Carr (FA)","189","279","67.7","2,145","7.7","15","5","8","17","71","1","0","10","156.0","15.6","1.1%"
"27","Trevor Lawrence (JAC)","172","284","60.6","2,045","7.2","11","7","18","26","119","3","1","10","152.2","15.2","76.4%"
"28","Jameis Winston (NYG)","181","296","61.1","2,121","7.2","13","12","24","25","83","1","2","11","143.2","13.0","1.9%"
