"Player","Pos","Team","Games","Snaps","Snaps/Gm","Snap %","Rush %","Tgt %","Touch %","Util %","Fantasy Pts","Pts/100 Snaps"
"Pat Bryant","WR","DEN","6","227","38","57","0","13","9","13","26.1","11.5"
"Travis Kelce","TE","KC","8","449","56","89","0","12","8","12","50.6","11.3"
"Josh Downs","WR","IND","8","312","39","62","0","15","8","15","35.2","11.3"
"Khalil Shakir","WR","BUF","9","358","40","61","0","15","11","15","40.3","11.3"
"Dawson Knox","TE","BUF","9","393","44","67","0","9","7","9","44.5","11.3"
"Zach Ertz","TE","WAS","5","231","46","70","0","14","10","14","25.9","11.2"
"Noah Brown","WR","WAS","2","42","21","37","0","7","5","7","4.7","11.2"
"Darius Slayton","WR","NYG","7","349","50","77","0","9","5","9","39.2","11.2"
"Tim Patrick","WR","JAC","8","219","27","42","0","8","5","8","24.0","11.0"
"AJ Barner","TE","SEA","9","441","49","78","2","10","9","11","48.1","10.9"
"DeVonta Smith","WR","PHI","8","450","56","87","0","12","7","12","48.8","10.8"
"Devaughn Vele","WR","NO","6","297","50","77","0","10","7","10","31.4","10.6"
"Kevin Austin Jr.","WR","NO","6","154","26","37","0","8","6","8","16.3","10.6"
"Brady Cook","QB","NYJ","4","248","62","98","4","0","57","57","26.3","10.6"
"Lil'Jordan Humphrey","WR","DEN","6","153","26","37","0","10","6","10","16.1","10.5"
"David Njoku","TE","CLE","5","149","30","48","0","5","4","5","15.3","10.3"
"Jerry Jeudy","WR","CLE","8","414","52","85","0","11","6","11","42.8","10.3"
"Terrance Ferguson","TE","LAR","9","297","33","49","0","7","3","7","29.9","10.1"
"Emeka Egbuka","WR","TB","8","426","53","78","0","14","7","14","42.8","10.0"
"Tyler Lockett","WR","LV","9","276","31","53","0","11","8","11","27.6","10.0"
"Tez Johnson","WR","TB","8","286","36","53","2","6","6","8","28.4","9.9"
"Mack Hollins","WR","NE","7","348","50","76","0","13","8","13","34.2","9.8"
"Isaiah Williams","WR","NYJ","8","273","34","56","1","9","8","10","26.7","9.8"
"T.J. Hockenson","TE","MIN","8","348","44","76","0","9","7","9","33.6","9.7"
"Keenan Allen","WR","LAC","8","273","34","53","0","14","10","14","26.2","9.6"
"Demarcus Robinson","WR","SF","8","222","28","42","0","7","5","7","21.0","9.5"
"Jake Ferguson","TE","DAL","8","387","48","66","0","11","8","11","36.2","9.4"
"Elic Ayomanor","WR","TEN","7","327","47","76","0","10","5","10","30.8","9.4"
"John Metchie III","WR","NYJ","8","380","48","78","1","11","8","11","35.1","9.2"
"Evan Engram","TE","DEN","8","219","27","41","0","16","10","16","20.1","9.2"
"Oronde Gadsden II","TE","LAC","8","343","43","66","0","10","6","10","31.6","9.2"
"Isaiah Likely","TE","BAL","9","315","35","56","0","9","6","9","28.9","9.2"
"Theo Johnson","TE","NYG","7","412","59","89","0","9","5","9","37.6","9.1"
"Andrei Iosivas","WR","CIN","8","430","54","77","0","7","5","8","38.4","8.9"
"Michael Pittman Jr.","WR","IND","8","440","55","87","0","12","8","12","38.7","8.8"
"Jackson Hawes","TE","BUF","9","271","30","46","0","4","3","4","23.8","8.8"
"Jack Bech","WR","LV","7","173","25","44","0","10","8","10","15.1","8.7"
"Josh Oliver","TE","MIN","7","221","32","57","0","5","4","5","19.0","8.6"
"Ben Sinnott","TE","WAS","7","165","24","39","0","5","4","5","14.2","8.6"
"Tyrell Shavers","WR","BUF","9","299","33","51","0","4","3","4","25.4","8.5"
"Xavier Legette","WR","CAR","8","293","37","63","0","9","4","9","24.2","8.3"
"Cooper Kupp","WR","SEA","8","397","50","77","0","9","5","9","33.1","8.3"
