"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"106","Mike White (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"107","Sam Ehlinger (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"108","Shane Buechele (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"109","Deshaun Watson (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"110","Brandon Allen (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"111","Jeff Driskel (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"112","Adrian Martinez (SF)","0","0","0","0","0","0","0","0","1","-1","0","0","1","-0.1","-0.1","0.0%"
"113","Jarrett Stidham (DEN)","0","0","0","0","0","0","0","0","1","-1","0","0","1","-0.1","-0.1","0.7%"
"114","Kedon Slovis (ARI)","1","2","50.0","-2","-1.0","0","0","0","0","0","0","0","2","-0.1","-0.1","0.0%"
"115","Kyle Allen (DET)","0","2","0.0","0","0.0","0","0","0","3","-3","0","0","4","-0.3","-0.1","0.6%"
"116","Nick Mullens (JAC)","1","1","100.0","3","3.0","0","0","0","9","-6","0","0","4","-0.5","-0.1","1.8%"
"117","Clayton Tune (FA)","1","4","25.0","8","2.0","0","1","1","1","0","0","0","1","-0.7","-0.7","0.6%"
"118","Jimmy Garoppolo (LAR)","0","0","0","0","0","0","0","0","6","-7","0","0","4","-0.7","-0.2","0.9%"
"119","Jalen Milroe (SEA)","0","0","0","0","0","0","0","0","3","4","0","1","4","-1.6","-0.4","1.4%"
""
""
